Volumes,Contributor,Title,Year,Publisher,PB page / refs,Best confidence,Search tier
1,"Hosoe, Eikoh",Barakei Shinshuban,,,V1: 282-3,Medium provisional,BROAD
1,"Hosoe, Eikoh",Kamaitachi,,,V1: 284-5,High provisional,CORE
1,"Hosoe, Eikoh",Otoko to Onna,,,V1: 279,High provisional,CORE
1,"Hosoe, Eikoh / Mishima, Yukio",Barakei,,,V1: 280-1,High provisional,CORE
1,"Howitt, William and Mary",Ruined Abbeys and Castles of Great Britain,,,V1: 62-3,Medium provisional,BROAD
1,"Hrabal, Bohumil",Toto mésto je vespolecné péci obyvatel,,,V1: 222-3,High provisional,CORE
1,"Hugnet, Georges",Guide Rose: Huit jours à Trébaumec,,,V1: 109,Medium provisional,BROAD
1,"Hugnet, Georges",La Septième face du dé,,,V1: 109,Medium provisional,BROAD
3,Igor Samolet,Be happy!,2013,Self published,,High,CORE
1,"Ingulov, S B",Pishchyevaya Industriya,,,V1: 166-7,High provisional,CORE
2,Inspector Thomas Byrnes,Professional Criminals of America,1886,"Cassell & Company, New York, 1886",V2: 212,Very high,CORE
2,International Federation of Trade Unions,Nie wieder Krieg! No More War! Plus jamais de Guerre! Nunca jamas Guerra! Nooit meer Oorlog! Aldrig mere Krig!,1929,"International Federation of Trade Unions, Amsterdam, 1929",V2: 213,Very high,CORE
1,"Ishimoto, Yasuhiro",Aruhi Arutokoro,,,V1: 272-3,High provisional,CORE
1,"Ishimoto, Yasuhiro","Chicago, Chicago",,,V1: 289,Medium provisional,BROAD
1,"Ishiuchi, Miyako",Apartment,,,V1: 304,Medium provisional,BROAD
1,"Ishiuchi, Miyako",Endless Night,,,V1: 304,Medium provisional,BROAD
1,"Ishiuchi, Miyako",Yokosuka Story,,,V1: 304,High provisional,CORE
1,"Izis / Prévert, Jacques",Le Cirque d'Izis,,,V1: 222,High provisional,CORE
2,Jacob Holdt,Amerikanske Billeder,1977,"(American Pictures. A Personal Journey Through Black America) Informations Forlag, Copenhagen, 1977",V2: 247,Very high,CORE
2,Jacqueline Hassink,The Table of Power,1996,"Menno van de Koppel, Amsterdam, 1996 (edition of 1,000; 750 available for public sale)",V2: 279,Very high,CORE
2,James Allen,Without Sanctuary,2000,"Twin Palms Publishers, Sante Fe, New Mexico, 2000",V2: 230,Very high,CORE
2,James Nachtwey,Inferno,1999,"Phaidon Press, London, 1999",V2: 254,Very high,CORE
3,Jan Dirk van der Burg,Olifantenpaadjes,,,,High,CORE
2,Jaroslav Bárta,Letem českým světem 1898-1998: obraz proměny českých zemí v odstupu století 1898-1998 (A Flight Over the Czech World 1898-1998: A Picture of the Changes in the Czech World Over a Century),1999,"Jaroslav Bárta, Studio JB, Prague, 1999 (2nd edition)",V2: 227,Very high,CORE
3,Jason Fulford,The Mushroom Collector,2010,Blind Spot Books / Princeton Architectural Press,V3: 306,High,CORE
3,Jean Gaumy,D'Après Nature,2010,Editions Xavier Barral,,High,CORE
2,Jean Gaumy,Pleine mer (Men at Sea),2001; 2002,"Éditions de La Martinière, Paris, 2001 (also published as Men at Sea, by Harry N Abrams, New York, 2002) Dent",V2: 315,Very high,CORE
2,Jem Southam,The Raft of Carrots,1992,"The Photographers' Gallery, London, 1992",V2: 70,Very high,CORE
2,Jens Liebchen,DL 07 stereotypes of war,2000,"Edition JJ Heckenhauer, Berlin, 2000 (edition of 750)",V2: 312,Very high,CORE
2,Jens Olof Lasthein,Moments in Between,2000,"Journal, Stockholm, 2000",V2: 253,Very high,CORE
2,"Jerry DeFalco and Joan Davidson, eds",The Valley Green 1951,1951,"Passaic Valley Regional High School, Little Falls, New Jersey, 1951",V2: 194,Very high,CORE
3,Jessica Dimmock,The Ninth Floor,2007,,,Very high,CORE
2,JH Engström,Trying to Dance,2003,"Journal, Stockholm, 2003",V2: 322,Very high,CORE
2,Jim Goldberg,Raised by Wolves,1995,"Scalo, Zurich, 1995",V2: 303,Very high,CORE
2,Jitka Hanzlová,Rokytník,1997,"Museum Schloss Hardenberg, 1997 (edition of 700)",V2: 85,Very high,CORE
3,Jiří Putta,"The Catalogue of Meat Products, Conserves and Lard",1973,,,Very high,CORE
3,Jo Ractliffe,As Terras do Fim do Mundo,2010,Michael Stevenson,,High,CORE
3,Joachim Schmid,Other People's Photographs,,,,Very high,CORE
2,Joan Fontcuberta,Sputnik,1997,"Fundación Arte y Tecnología, Madrid, 1997",V2: 169,Very high,CORE
2,Joan Fontcuberta,The Artist and the Photograph,1995,"Actar, Barcelona, 1995",V2: 163,Very high,CORE
2,Joan Fontcuberta and Pere Formiguera,Dr Ameisenhaufen's Fauna,1988,"European Photography, Göttingen, 1988",V2: 69,Very high,CORE
3,Joel Meyerowitz,Aftermath: World Trade Center Archive,2011,,,Medium,BROAD
2,Joel Sternfeld,American Prospects,1987,"Times Books, New York, in association with the Museum of Fine Arts, Houston, Texas, 1987",V2: 35,Very high,CORE
2,John Baldessari,Choosing: Green Beans,1972,"Edizioni Toselli, Milan, 1972",V2: 147,Very high,CORE
2,John Davies,A Green & Pleasant Land,1987,"AGECROFT FENER STATIC Cornerhouse Publications, Manchester, 1987 X",V2: 63,Very high,CORE
2,John Gossage,Stadt des Schwarz,1987,"Eighteen Photographs of Berlin by John Gossage Loosestrife Editions, Washington, DC, 1987 (edition of 500)",V2: 64,Very high,CORE
2,John Gossage,The Pond,1985,"Aperture, Millerton, New York, 1985",V2: 37,Very high,CORE
3,John Stezaker,The 3rd Person Archive,2009,Walther König,,High,CORE
2,John Szarkowski,The Photographer's Eye,1966,"Museum of Modern Art, New York, 1966",V2: 219,Very high,CORE
1,"Jonsson, Sune",Byn med det blå huset,,,V1: 214,Medium provisional,BROAD
2,Jos R Vilímek,"Letem českým světem: půl tisíce fotograf pohledů z Čech, Moravy, Slezska a Slovenska (A Flight Over the Czech World: Five Hundred Views From Bohemia, Moravia, Silesia and Slovakia)",1898,"Jos R Vilímek, Prague, 1898",V2: 227,Very high,CORE
