Canon,Contributor,Title,Roth year,Roth page,Publication statement,Physical description / ideal copy,Edition / issue note,Collector flags,Search tier,Evidence confidence,Parr/Badger overlap,PB volumes,PB page / refs,PB confidence,Source
Roth 101,Mike Mandel and Larry Sultan,Evidence,1977,240,"(California: Clatworthy Colorvues, 1977).","4Ato.; black-and-white photographs; blue cloth, stamped in gilt.","1,800 copies, the entire edition.",,CORE,Very high,Yes,2,V2: 221,Very high,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Lisette Model,Lisette Model,1979,242,"(New York):An Aperture Monograph, (1979).","Folio; black-and-white photographs; photographically illustrated laminated boards; photographically illustrated dust jacket.",,dust jacket,CORE,Very high,No,,,,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Larry Clark,Teenage Lust,1983,244,"New York: Larry Clark, 1983.","4to.; black-and-white photographs; photographically illustrated wrappers.",,,CORE,Very high,Yes,1,V1: 264-5,High provisional,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Gilles Peress,Telex Iran,1983,246,"(New York):Aperture, (1983).","Folio; black-and-white photographs; photographic endpapers; photographically illustrated stiff wrappers.",,,CORE,Very high,Yes,2,V2: 253,Very high,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Jim Goldberg,Rich and Poor,1985,250,"New York: Random House, (1985).","4to.; black-and-white photographs; photographically illustrated wrappers.",,,CORE,Very high,No,,,,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Nan Goldin,The Ballad of Sexual Dependency,1986,252,"(New York): An Aperture Book, (1986).","Oblong 4to.; color photographs; blue cloth; photographically illustrated dust jacket.",,dust jacket,CORE,Very high,Yes,2,V2: 39,Very high,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Bruce Weber,O Rio de Janeiro,1986,254,"New York: Alfred A. Knopf, 1986.","Folio; color photographs; photographically illustrated wrappers; black-and-white photographically illustrated slipcase.","100 copies were issued in a photographically illustrated slipcase.",slipcase,CORE,Very high,No,,,,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Bill Burke,I Want To Take Picture,1987,258,"Atlanta, Georgia: Nexus Press, 1987.","Folio; black-and-white and color photographs; photographically illustrated endpapers; photographically illustrated, laminated boards.","1,000 copies, the entire edition",,CORE,Very high,Yes,2,V2: 41,Very high,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Joel Sternfeld,American Prospects,1987,260,"(New York): Times Books (A Division of Random House) in association with the Museum of Fine Arts, Houston, (1987).","Oblong 4to.; color photographs; gray cloth; color photographically illustrated dust jacket.",,dust jacket,CORE,Very high,Yes,2,V2: 35,Very high,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Joan Fontcuberta and Pere Formiguera,Fauna,1989,262,"Spain: PhotoVision, 1989.","Small 4to.; black-and-white photographs; printed tan wrappers.",,,CORE,Very high,Yes,2,V2: 69,Very high,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Allen Ginsberg,Allen Ginsberg Photographs,1990,266,"(California): Twelvetrees Press, 1990.","Folio; gravure plates; gray cloth; printed dust jacket.","5,000 copies, the entire edition.",dust jacket,CORE,Very high,No,,,,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Lothar Baumgarten,Carbon,1991,268,"New York: Lothar Baumgarten, Pentti Kouri; Los Angeles: The Museum of Contemporary Art, (1991).","Oblong folio; black-and-white and color photographs; text pamphlet laid in at rear; gray cloth; color photographically illustrated dust jacket, text printed on verso.","1,750 copies, the entire edition.","dust jacket; laid in",CORE,Very high,No,,,,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Christian Boltanski,Menschlich,1994,272,"K6ln: Thouet Verlag und Verlag der Buchhandlung Walther Konig, (1994).","Ato.; black-and-white photographs; photographically illustrated flexible boards.",,,CORE,Very high,No,,,,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Richard Prince,Adult Comedy Action Drama,1995,274,"(New York-Berlin-Zurich: Scalo, 1995.)","4to.; color photographs; blue paper-covered boards; color photographically illustrated dust jacket.",,dust jacket,CORE,Very high,No,,,,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,David LaChapelle,LaChapelle Land,1996,282,"New York: Simon and Schuster in association with Callaway, 1996.","Folio; color photographs; folded leaf,“La Chapelle Land Map,” laid in; color photographically illustrated endpapers; laminated illustrated boards; laminated illustrated box; boards and box printed in silkscreen with color photographic collages designed by Tadanori Yokoo, Tokyo, Japan.",,"box; laid in",CORE,Very high,No,,,,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
