Canon,Contributor,Title,Roth year,Roth page,Publication statement,Physical description / ideal copy,Edition / issue note,Collector flags,Search tier,Evidence confidence,Parr/Badger overlap,PB volumes,PB page / refs,PB confidence,Source
Roth 101,Josef Sudek,Josef Sudek Fotografie,1956,144,"Praha, [Czechoslovakia]: Statni Nakladatelstvi Krassne Leteratury, Hudby A Umeni, 1956.","Small 4to.; gravure plates; tan cloth; satin bookmark; printed dust jacket.",,dust jacket,CORE,Very high,No,,,,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Ed van der Elsken,Een Liefdesgeschiedenis in Saint Germain des Prés,1956,146,"Amsterdam: De Bezige Bij, [1956].","Small 4to.; black-and-white photographs; black cloth; photographically illustrated dust jacket.",,dust jacket,CORE,Very high,Yes,1,V1: 206-7,High provisional,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Richard Avedon and Truman Capote,Observations,1959,148,"New York: Simon and Schuster, 1959.","Folio; gravure plates; printed boards; acetate jacket; printed board slipcase.",,"acetate; slipcase",CORE,Very high,No,,,,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Robert Frank,The Americans,1959,150,"New York: Grove Press, Inc., (1959).","Small 4to.; gravure plates; black cloth; photographically illustrated dust jacket, collage on lower panel designed by Alfred Leslie.","First American edition.","dust jacket; first edition",CORE,Very high,Yes,1,"V1: 4, 247",Medium provisional,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Aaron Siskind,Aaron Siskind Photographs,1959,152,"New York: Horizon Press, (1959).","Folio, black-and-white photographs; black cloth, stamped in silver; photographically illustrated dust jacket.",,dust jacket,CORE,Very high,Yes,1,V1: 238-9,High provisional,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Ed van der Elsken,Jazz,1959,156,"Amsterdam: De Bezige Bij, (1959).","Square 8vo.; black-and-white photographs; photographically illustrated, laminated boards.",,,CORE,Very high,Yes,1,V1: 244-5,High provisional,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Irving Penn,Moments Preserved,1960,158,"New York: Simon and Schuster, (1960).","Folio; black-and-white and color photographs; beige cloth; printed dust jacket; color photographically illustrated laminated cardboard slipcase.",,"dust jacket; slipcase",CORE,Very high,No,,,,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Bill Brandt,Perspective of Nudes,1961,160,"New York: Amphoto, (1961).","Ato.; gravure plates; decorative paper-covered boards; photographically illustrated dust jacket.",,dust jacket,CORE,Very high,Yes,1,V1: 216,High provisional,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Frederick Sommer,Frederick Sommer 1939-1962 Photographs,1962,162,"(New York): Aperture 10:4, 1962.","8vo.; black-and-white photographs; printed wrappers, stapled.",,,CORE,Very high,No,,,,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Eikoh Hosoe and Yukio Mishima,Killed By Roses,1963,164,"(Tokyo: Shueisha, 1963).","Folio; gravure plates; photographically illustrated cloth; acetate jacket; photographically illustrated cardboard box.","1,500 numbered copies, signed by Eikoh Hosoe and Yukio Mishima, the entire edition.","signed; numbered; acetate; box",CORE,Very high,Yes,1,V1: 280-1,High provisional,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Harry Callahan,Harry Callahan Photographs,1964,168,"Santa Barbara [California]: El Mochuelo Gallery, (1964).","Folio; black-and-white photographs; black cloth, stamped in silver; black cloth slipcase.","1,500 copies, the entire edition.",slipcase,CORE,Very high,No,,,,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Peter Hill Beard,The End of the Game,1965,170,"New York: The Viking Press, (1965)","Ato.; black-and-white and color photographs, drawings, and maps throughout; gray cloth; color photographically illustrated dust jacket.",,dust jacket,CORE,Very high,No,,,,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Emmet Gowin,"Concerning America and Alfred Stieglitz, and Myself",1965,172,"Richmond, Virginia: [self-published] May, 1965.","4to.; 14 original black-and-white photographs, mounted on rectos only; flexible boards; Gowin drawing printed on upper panel.","100 copies, the entire edition.",original photographs,CORE,Very high,No,,,,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Kikuji Kawada,The Map,1965,174,"Tokyo: Bijutsu Shuppan-Sha, August 6, 1965.","8vo.; gravure plates; gate folds; folded broadside laid in, recto printed in Japanese, verso printed in English; black paper-covered boards; black-and-white photographically illustrated dust jacket; belly band.","700 copies, the entire edition.","dust jacket; laid in; belly band",CORE,Very high,Yes,1,V1: 276-7,High provisional,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Helen Levitt,A Way of Seeing,1965,178,"New York: The Viking Press, (1965).","Small 4vo.; gravure plates; printed black cloth; photographically illustrated dust jacket.",,dust jacket,CORE,Very high,Yes,1,V1: 256-7,High provisional,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Walker Evans,Many Are Called,1966,180,"Boston: Houghton Mifflin Company, The Riverside Press Cambridge, 1966.","4to.; black-and-white photographs; black cloth; printed dust jacket.",,dust jacket,CORE,Very high,Yes,1,V1: 253,High provisional,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Edward Ruscha,Every Building on the Sunset Strip,1966,182,"Los Angeles, California: Edward Ruscha, 1966.","8vo.; black-and-white photographs; accordion fold; white wrappers, printed spine; silver paper-covered board slipcase; white paper belly band.","| ,000.copies, the entire edition.","slipcase; belly band",CORE,Very high,Yes,2,V2: 143,Very high,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Ugo Mulas,New York: The New Art Scene,1967,186,"(New York): Holt, Rinehart and Winston, (1967).","Small folio; gravure plates; photographic endpapers; tan cloth; photographically illustrated dust jacket.",,dust jacket,CORE,Very high,No,,,,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Andy Warhol,Andy Warhol's Index (Book),1967,188,"New York: Random House,A Black Star Book, 1967.","4to.; black-and-white photographs, full-color pop-ups and fold-outs, and items affixed to bound-in leaves, including a flexible LP and a printed “index” balloon; balloon slightly melted, partially sealed between pages; silver paper-covered boards; clear plastic jacket.",,,CORE,Very high,Yes,2,V2: 145,Very high,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Danny Lyon,The Bikeriders,1968,190,"New York: The Macmillan Company; London: Collier-Macmillan Limited, (1968).","8vo.; black-and-white photographs; black cloth; photographically illustrated dust jacket.",,dust jacket,CORE,Very high,Yes,1,V1: 263,High provisional,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Garry Winogrand,The Animals,1969,192,"New York: The Museum of Modern Art. Distributed by New York Graphic Society Ltd., Greenwich, Connecticut, (1969).","Oblong 8vo.; gravure plates; photographically illustrated wrappers.",,,CORE,Very high,Yes,1,V1: 257,High provisional,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Bernd and Hilla Becher,Anonyme Skulpturen,1970,194,"Diisseldorf: Art-Press Verlag, (1970).","4to.; black-and-white photographs; blue cloth; photographically illustrated dust jacket.",,dust jacket,CORE,Very high,Yes,2,V2: 266,Very high,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
