Record ID,Contributor,Contributor aliases,Title,Title aliases,Year,Publisher,ISBN,Canon sources,Collectibility tier,Search priority,First edition notes,Strong buy GBP,Bargain GBP,Evidence confidence,Source,Search tier
openlibrary:OL7210573W,Jonathan Green,,The snap-shot,,1974,Aperture,,Specialist photography publisher backlist: Aperture,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL7210573W,BROAD
openlibrary:OL17569293W,Jonathan Hollingsworth,,Left Behind Life and Death Along the Us Border,,2012,Dewi Lewis,,Specialist photography publisher backlist: Dewi Lewis,B,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL17569293W,BROAD
openlibrary:OL8637822W,Jonathan Shaw,,Tim[eo]tion,,2003,Dewi Lewis,,Specialist photography publisher backlist: Dewi Lewis,B,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL8637822W,BROAD
openlibrary:OL24152498W,Jörg M Colberg,Ken MacLeish | M L Casteel,American Interiors,,2018,Dewi Lewis,,Specialist photography publisher backlist: Dewi Lewis,B,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL24152498W,BROAD
openlibrary:OL2584393W,Josef Breitenbach,,Josef Breitenbach,,1996,Nazraeli Press,,Specialist photography publisher backlist: Nazraeli Press | Specialist photography publisher backlist: powerHouse Books,B,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL2584393W,BROAD
openlibrary:OL4195176W,Josef Koudelka,,Exiles,,1988,Aperture,,Specialist photography publisher backlist: Aperture | Specialist photography publisher backlist: Thames & Hudson,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL4195176W,BROAD
openlibrary:OL4195175W,Josef Koudelka,,Gypsies,,1975,Aperture,,Specialist photography publisher backlist: Aperture,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL4195175W,BROAD
openlibrary:OL21234781W,Josef Koudelka,,Josef Koudelka,,2007,Aperture,,Specialist photography publisher backlist: Aperture | Specialist photography publisher backlist: Thames & Hudson,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL21234781W,BROAD
openlibrary:OL4195174W,Josef Koudelka,Robert Delpire | Dominique Edde | Anna Farova,Koudelka,,2006,Aperture,,Specialist photography publisher backlist: Aperture,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL4195174W,BROAD
openlibrary:OL19705685W,Josef Koudelka,,Wall,,2013,Aperture,,Specialist photography publisher backlist: Aperture,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL19705685W,BROAD
openlibrary:OL2241083W,Josef Sudek,,Josef Sudek,,1956,Aperture,,Specialist photography publisher backlist: Aperture,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL2241083W,BROAD
openlibrary:OL2241082W,Josef Sudek,,Josef Sudek: Poet of Prague,,1990,Aperture,,Specialist photography publisher backlist: Aperture,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL2241082W,BROAD
openlibrary:OL2241079W,Josef Sudek,,Prague Panoramic,,1992,Aperture,,Specialist photography publisher backlist: Aperture,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL2241079W,BROAD
openlibrary:OL32674038W,Joseph Maida,,New Natives,,2015,L'Artiere,,Specialist photography publisher backlist: L'Artiere,B,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL32674038W,BROAD
openlibrary:OL9594989W,Josh Getlin,,Beyond the Killing Fields,,1992,Aperture,,Specialist photography publisher backlist: Aperture,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL9594989W,BROAD
openlibrary:OL8774256W,Joy Gregory,,Objects of Beauty,,2004,Chris Boot,,Specialist photography publisher backlist: Chris Boot,B,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL8774256W,BROAD
openlibrary:OL26002708W,Judith Joy Ross,Joshua Chuang | Svetlana Alpers | Addison Bross,Judith Joy Ross,,2021,Aperture,,Specialist photography publisher backlist: Aperture | Specialist photography publisher backlist: Steidl,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL26002708W,BROAD
openlibrary:OL33093169W,Judith Joy Ross,,Living with war,,2008,Steidl,,Specialist photography publisher backlist: Steidl,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL33093169W,BROAD
openlibrary:OL2796752W,Judith Joy Ross,,Protest the war,,2007,Steidl,,Specialist photography publisher backlist: Steidl,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL2796752W,BROAD
openlibrary:OL4557058W,Judy Coleman,,Judy Coleman,,1989,Twin Palms,,Specialist photography publisher backlist: Twin Palms,B,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL4557058W,BROAD
openlibrary:OL9602594W,Judy Gelles,,Beach Boxes,,2004,Nazraeli Press,,Specialist photography publisher backlist: Nazraeli Press,B,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL9602594W,BROAD
openlibrary:OL36445845W,Juergen Teller,,Deste Fashion Collection,,2010,Steidl,,Specialist photography publisher backlist: Steidl,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL36445845W,BROAD
openlibrary:OL36452852W,Juergen Teller,,Enjoy Your Life!,,2018,Steidl,,Specialist photography publisher backlist: Steidl,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL36452852W,BROAD
openlibrary:OL22037334W,Juergen Teller,Harmony Korine,Harmony Korine and Juergen Teller,,2020,Steidl,,Specialist photography publisher backlist: Steidl,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL22037334W,BROAD
openlibrary:OL21088390W,Juergen Teller,Nicolas Ghesquiere,I Just Arrived in Paris,,2015,Steidl,,Specialist photography publisher backlist: Steidl,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL21088390W,BROAD
openlibrary:OL8630427W,Juergen Teller,,Juergen Teller,,2001,Steidl,,Specialist photography publisher backlist: Steidl,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL8630427W,BROAD
openlibrary:OL21204100W,Juergen Teller,,Juergen Teller : the Master IV,,2019,Steidl,,Specialist photography publisher backlist: Steidl,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL21204100W,BROAD
openlibrary:OL36447298W,Juergen Teller,,Juergen Teller Vol. 2,,2009,Steidl,,Specialist photography publisher backlist: Steidl,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL36447298W,BROAD
openlibrary:OL21062566W,Juergen Teller,,Juergen Teller - Woo!,,2013,Steidl,,Specialist photography publisher backlist: Steidl,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL21062566W,BROAD
openlibrary:OL21035270W,Juergen Teller,,Keys to the House,,2012,Steidl,,Specialist photography publisher backlist: Steidl,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL21035270W,BROAD
openlibrary:OL17427088W,Juergen Teller,,Marc Jacobs Advertising 19982009,,2009,Steidl,,Specialist photography publisher backlist: Steidl,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL17427088W,BROAD
openlibrary:OL11614528W,Juergen Teller,,Märchenstüberl,,2003,Steidl,,Specialist photography publisher backlist: Steidl,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL11614528W,BROAD
openlibrary:OL21025523W,Juergen Teller,,Master,,2010,Steidl,,Specialist photography publisher backlist: Steidl,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL21025523W,BROAD
openlibrary:OL22005136W,Juergen Teller,Nobuyoshi Araki,Nobuyoshi Araki and Juergen Teller,,2020,Steidl,,Specialist photography publisher backlist: Steidl,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL22005136W,BROAD
openlibrary:OL25631528W,Juergen Teller,Nicolas Ghesquière,Season,,2016,Steidl,,Specialist photography publisher backlist: Steidl,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL25631528W,BROAD
openlibrary:OL32835751W,Juergen Teller,,The master III,,2012,Steidl,,Specialist photography publisher backlist: Steidl,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL32835751W,BROAD
openlibrary:OL43524110W,Juergen Teller,,The nipple,,2020,TBW Books,,Specialist photography publisher backlist: TBW Books,B,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL43524110W,BROAD
openlibrary:OL33048501W,Juergen Teller,,Zimmermann,,2009,Steidl,,Specialist photography publisher backlist: Steidl,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL33048501W,BROAD
openlibrary:OL8630425W,Juergen Teller,,Zwei Schauferle mit Klob und eine Kinderportion Schnitzel mit Pommes Frites,,2003,Steidl,,Specialist photography publisher backlist: Steidl,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL8630425W,BROAD
